,author,content,probs
0,waymar royce,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.","[[0.11304846 0.12510803 0.11162861 0.2822981  0.17154653 0.06520828
  0.13116206]]"
1,will,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.","[[3.0924791e-01 3.1676564e-01 1.1467100e-01 2.3651911e-02 2.2645880e-01
  8.9040669e-03 3.0067615e-04]]"
2,waymar royce,How close did you get?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
3,will,Close as any man would.,"[[0.03148199 0.0350059  0.02109075 0.03034188 0.03497474 0.0062662
  0.84083855]]"
4,gared,We should head back to the wall.,"[[0.02041265 0.02312942 0.01609574 0.02880319 0.02596799 0.00517778
  0.88041323]]"
5,royce,Do the dead frighten you?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
6,gared,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,"[[3.6171433e-01 3.4991509e-01 1.0901818e-01 5.1717707e-03 1.7097966e-01
  3.1434840e-03 5.7508274e-05]]"
7,royce,You don't think he'll ask us how they died? Get back on your horse.,"[[0.01340347 0.01545313 0.01233813 0.02673498 0.01933152 0.00424275
  0.908496  ]]"
8,will,Whatever did it to them could do it to us. They even killed the children.,"[[0.00521709 0.00625887 0.00688673 0.02280324 0.01004349 0.00274647
  0.9460441 ]]"
9,royce,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.","[[3.4827116e-01 3.4158128e-01 1.0236912e-01 1.2000744e-02 1.8908581e-01
  6.4681447e-03 2.2376535e-04]]"
10,royce,Your dead men seem to have moved camp.,"[[0.0273587  0.03067977 0.01987256 0.03195732 0.03252498 0.0062238
  0.85138285]]"
11,will,They were here.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
