,Tweet,clean tweets,emotion
0,"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS",maxkellerman also helps majority nfl coaching inept bill obriens play calling wow gopats,0
1,My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,roommate okay cant spell autocorrect terrible firstworldprobs,0
2,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",rooneys fucking untouchable isnt fucking dreadful depay looked decentishtonight,0
3,@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,bossupjaee pussy weak heard stfu bitch got threaten pregnant,0
4,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,girl hit carnot get lucky w scratch also spared wrath sleep deprived kait🙃,0
5,@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,btuk broadband shocking regretting signing angry shouldofgonewithvirgin,0
6,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,people need look definition protest protesting called vandalism angry stop,0
7,@BitchestheCat Look at those teef! #growl,bitchesthecat look teef growl,0
8,Star trek online has a update to download oh fuming yay,star trek online update download oh fuming yay,0
9,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,cant stop finished dejected luckily one bathroom go stall wait pants dry,0
10,@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,nhlexpepicks usahockey usa embarrassing watch last time guys game horrible joke,0
11,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,glee filled normy dry humping recent high profile celebrity break pathetic amp wrong world today,0
12,@zorefx you guys will see what i did in the next video but its fucking horrid,zorefx guys see next video fucking horrid,0
13,What a fucking muppet.  @jRwild1  #stalker.,fucking muppet jrwild1 stalker,0
14,My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,cat bloody lucky rspca werent open 3am last night fuming 😡🐱,0
15,Autocorrect changes ''em' to 'me' which I resent greatly,autocorrect changes em resent greatly,0
16,"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.",mean im done watching pilot nice see group actors perform without story lines dripping relentless nihilism,0
17,@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,waterboysas would never strategically vote someone dont agree lot clinton vote based fear negativity,0
18,@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,jenny69 people always get offended everyones situation different kids doesnt mean settle,0
19,@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,aliki111 haters low self woh self righteous delusions cower thought change change inevitable,0
20,All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,young people bitter older contestants probably know make bakewell tas 😂 gbbo,0
21,@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,tamrabarney shannonbeador rhockellydodd tamra would f swung tamrankelly piece 💩 needstobeadmitted bully,0
22,"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",accusd india hr violations kashmir refusd name indias role fomenting terror pakistan ttp bla amp mqmshame zh,0
23,@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,kristiann1125 lol wow gonna say really haha seen chris nah dont even snap anymore dude,0
24,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",im also definitely still bitter yellow ranger asian asian representation hollywood essentially shrug anyway,0
25,@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,mascritical irony protesting kind stuff orwellian nightmare think they’re fighting,0
26,@loismackey_ @Dory nah way that's horrible,loismackey dory nah way thats horrible,0
27,@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,maryamnsharif think becz u much terror pak nd urself leader u forgot difference btw leader nd terrorist,0
