,Tweet,emotion,clean tweets
0,"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS",0,maxkellerman also helps majority nfl coaching inept bill obriens play calling wow gopats
1,My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,0,roommate okay cant spell autocorrect terrible firstworldprobs
2,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",0,rooneys fucking untouchable isnt fucking dreadful depay looked decentishtonight
3,@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,0,bossupjaee pussy weak heard stfu bitch got threaten pregnant
4,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,0,girl hit carnot get lucky w scratch also spared wrath sleep deprived kait🙃
5,@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,0,btuk broadband shocking regretting signing angry shouldofgonewithvirgin
6,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,0,people need look definition protest protesting called vandalism angry stop
7,@BitchestheCat Look at those teef! #growl,0,bitchesthecat look teef growl
8,Star trek online has a update to download oh fuming yay,0,star trek online update download oh fuming yay
9,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,0,cant stop finished dejected luckily one bathroom go stall wait pants dry
10,@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,0,nhlexpepicks usahockey usa embarrassing watch last time guys game horrible joke
11,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,0,glee filled normy dry humping recent high profile celebrity break pathetic amp wrong world today
12,@zorefx you guys will see what i did in the next video but its fucking horrid,0,zorefx guys see next video fucking horrid
13,What a fucking muppet.  @jRwild1  #stalker.,0,fucking muppet jrwild1 stalker
14,My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,0,cat bloody lucky rspca werent open 3am last night fuming 😡🐱
15,Autocorrect changes ''em' to 'me' which I resent greatly,0,autocorrect changes em resent greatly
16,"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.",0,mean im done watching pilot nice see group actors perform without story lines dripping relentless nihilism
17,@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,0,waterboysas would never strategically vote someone dont agree lot clinton vote based fear negativity
18,@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,0,jenny69 people always get offended everyones situation different kids doesnt mean settle
19,@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,0,aliki111 haters low self woh self righteous delusions cower thought change change inevitable
20,All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,0,young people bitter older contestants probably know make bakewell tas 😂 gbbo
21,@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,0,tamrabarney shannonbeador rhockellydodd tamra would f swung tamrankelly piece 💩 needstobeadmitted bully
22,"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",0,accusd india hr violations kashmir refusd name indias role fomenting terror pakistan ttp bla amp mqmshame zh
23,@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,0,kristiann1125 lol wow gonna say really haha seen chris nah dont even snap anymore dude
24,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",0,im also definitely still bitter yellow ranger asian asian representation hollywood essentially shrug anyway
25,@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,0,mascritical irony protesting kind stuff orwellian nightmare think they’re fighting
26,@loismackey_ @Dory nah way that's horrible,0,loismackey dory nah way thats horrible
27,@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,0,maryamnsharif think becz u much terror pak nd urself leader u forgot difference btw leader nd terrorist
28,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,0,puzzle investing opening poland feodal population correlative straight snoing infuriate xlzjyhg
29,Brb going to sulk in bed until Friday,0,brb going sulk bed friday
30,Weak people revenge. Strong people forgive. Intelligent people ignore.,0,weak people revenge strong people forgive intelligent people ignore
31,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,0,rage rage ep 2 coming soon ill keep posted youtube youtubegaming rage
32,@Bridget_Delia @originalaubs omg that's terrible,0,bridgetdelia originalaubs omg thats terrible
33,"Jorge deserves it, honestly. He's weak.  #90dayfiance",0,jorge deserves honestly hes weak 90dayfiance
