,author,content,clean tweets,probs
0,selenagomez,You know you love pickles when you ship them from home 🙈 @BestMaidPickles #texastradition #texasgirl http://t.co/lkornkcOwK,know love pickles ship home 🙈 bestmaidpickles texastradition texasgirl httptcolkornkcowk,"[[0.03297202 0.04192321 0.094276   0.6300846  0.13531385 0.05274907
  0.01268122]]"
1,britneyspears,"@BARMY117 Smurftastic, lol. That's cute ;) #OohLaLaVideoPremiere",barmy117 smurftastic lol thats cute oohlalavideopremiere,"[[2.8463885e-01 3.0179799e-01 1.2617503e-01 2.4854582e-02 2.5572047e-01
  6.6821873e-03 1.3090110e-04]]"
2,Cristiano,You asked: Ecuador loves you!!!  http://t.co/jqdBnrdxUg,asked ecuador loves httptcojqdbnrdxug,"[[0.00498517 0.00654516 0.02116488 0.33265576 0.02489717 0.02187433
  0.5878775 ]]"
3,ddlovato,Touring w/ @nickjonas was the BEST. Getting to perform this song w/ him was even better https://t.co/5bSZCNehMZ #HondaCivicTour #FutureNow,touring w nickjonas best getting perform song w even better httpstco5bszcnehmz hondacivictour futurenow,"[[0.00939434 0.01196938 0.03215504 0.4071392  0.03952237 0.03216575
  0.46765384]]"
4,ladygaga,"The Foo Fighters were so incredible tonight, monster fury rock n' roll, 20 years of locked precision.… http://t.co/vf97dfO3CY",foo fighters incredible tonight monster fury rock n roll 20 years locked precision… httptcovf97dfo3cy,"[[0.01853006 0.0222736  0.03189724 0.16528055 0.04462526 0.01964236
  0.6977509 ]]"
5,katyperry,🐠🐟Had a magical dinner with the tour watching the natural choreography of the beautiful sea life in… https://t.co/JYX1ZX9lFX,🐠🐟had magical dinner tour watching natural choreography beautiful sea life in… httpstcojyx1zx9lfx,"[[2.3873808e-04 3.3093386e-04 1.1966779e-03 1.7942771e-02 1.3208238e-03
  8.3764322e-04 9.7813237e-01]]"
6,ArianaGrande,and i love you more https://t.co/pMUlWsR1cS,love httpstcopmulwsr1cs,"[[0.12422077 0.13731481 0.12941815 0.30557197 0.19792312 0.07293463
  0.03261655]]"
7,jimmyfallon,Tonight: Jon Stewart and @PadmaLakshmi are here! Plus stand-up from @JimGaffigan. #FallonTonight,tonight jon stewa padmalakshmi plus standup jimgaffigan fallontonight,"[[0.00761156 0.0089993  0.00882166 0.02515233 0.01321606 0.00336036
  0.9328387 ]]"
8,jtimberlake,“@GwenMarie_4936: I am honestly so flipping excited for this album to come out 😝❤ #preordered #waiting  http://t.co/NGbUhdyfaX” Me too!!,“gwenmarie4936 honestly flipping excited album come 😝❤ preordered waiting httptcongbuhdyfax”,"[[3.0922565e-01 3.1725109e-01 1.2342917e-01 9.7290557e-03 2.3777598e-01
  2.5704775e-03 1.8539498e-05]]"
9,ArianaGrande,tomorrow #SideToSide ♡🚲 https://t.co/U6XjVSCIKc,tomorrow sidetoside ♡🚲 httpstcou6xjvscikc,"[[0.13839291 0.15513825 0.1445777  0.26307464 0.22860357 0.05803819
  0.01217476]]"
